Name;Name2;Producto;Teléfono;Ciudad;Correo Electrónico;Info;Sitio Web;Ubicación
ASOCIACIÓN PORKCOLOMBIA - FNP;;;571-2486777;BOGOTA D.C.;dcorrea@porkcolombia.co;ASOCIACIÓN PORKCOLOMBIA - FNPEn la Asociación Colombiana de Porcicultores, Porkcolombia – FNP, trabajamos con pasión por el desarrollo de la agroindustria porcícola y la productividad del campo en Colombia, apuntando a su sostenibilidad.Representamos el trabajo y la fuerza de miles de porcicultores colombianos a quienes acompañamos en sus procesos de mejora y tecnificación para contar con los más altos estándares en cada eslabón de la cadena productiva, brindando a los hogares de Colombia y el mundo, la mejor carne de cerdo.Fomentamos el consumo de la carne de cerdo colombiana porque conocemos su calidad, versatilidad y valores nutricionales, respaldados por el cuidadoso trabajo de nuestros porcicultores.;http://www.porkcolombia.co/;Pabellón: 06, Nivel: 01, Stand: 302A
ASOCIACIÓN DE CRIADORES AYRSHIRE DE COLOMBIA;ASOCIACIÓN DE CRIADORES AYRSHIRE DE COLOMBIA;SEMEN CONGELADO -ASISTENCIA TÉCNICA - MEJORAMIENTO GENÉTICO- CONSULTORIA Y ASESORIA;571-7029014;BOGOTA D.C.;direjecutivo@ayrshirecolombia.com.co;ASOCIACIÓN DE CRIADORES AYRSHIRE DE COLOMBIA;http://www.ayrshirecolombia.com.co;Pabellón: 11-16, Nivel: 01, Stand: 419A
"""ASOCIACION DE EMPRESAS AGROINDUSTRIALES DEL QUINDIO""";"""ASOCIACION DE EMPRESAS AGROINDUSTRIALES DEL QUINDIO""";GREMIO DE EMPRESAS DEL SECTOR AGROINDUSTRIAL DE ALIMENTOS Y BEBIDAS;310-3897791;ARMENIA;gerencia@greenlike.com.co;"""ASOCIACION DE EMPRESAS AGROINDUSTRIALES DEL QUINDIO""";http://;Pabellón: 06, Nivel: 01, Stand: 428
ASOCIACION HORTIFRUTICOLA DE COLOMBIA-ASOHOFRUCOL;;Frutas, hortalizas, procesados, capacitación, libros, cartillas.;571-2810411;BOGOTA D.C.;ximena.lozano@asohofrucol.com.co;ASOCIACION HORTIFRUTICOLA DE COLOMBIA-ASOHOFRUCOL;http://www.asohofrucol.com.co;Pabellón: 06, Nivel: 02, Stand: 102
ASOCIACION SANTA ALIANZA DE BOGOTA;ASOCIACION SANTA ALIANZA DE BOGOTA;Productos con Especial Sentido Social;571-3598070;BOGOTA D.C.;info@santaalianzabogota.org;ASOCIACION SANTA ALIANZA DE BOGOTA;http://www.santaalianzabogota.org;Pabellón: 06, Nivel: 01, Stand: 646
ASOLTRAK SAS / TRACTORES SONALIKA;;TRACTORESSONALIKA,SEMBRADORASOPLANTADORASDEPAPASONALIKA,MAQUINARIASICMA:ROTOCULTIVADORES,DESBROZADORAS,PALEADORAS O CAVADORAS, MOTOCULTORES Y MOTOAZADAS GRILLO, MAQUINARIA PARA ZONAS VERDES MARCA GRILLO;0;BOGOTA D.C.;admin@asoltrak.com;ASOLTRAK SAS / TRACTORES SONALIKARepresentante en Colombia de Tractores marca SONALIKA, Implementos Agrícolas, maquinaria, repuestos. ;http://www.asoltrak.com;Pabellón: AL04, Nivel: 01, Stand: 13
BRASILIAN RENDERERS;;SOMOS UNA ASOCIACIÓN DE RECICLAJE ANIMAL, DONDE REPRESENTAMOS A LOS PRODUCTORES DE HARINAS Y GRASAS ANIMALES, PARA EL USO DE ALIMENTACIÓN ANIMAL, HIGIENE Y LIMPIEZA, BIOSISEL ETC.;55613-2017199;BRASILIA;internacional@abra.ind.br;BRASILIAN RENDERERS;http://www.abra.ind.br;Pabellón: 03, Nivel: 01, Stand: 436
ASSOCIACAO BRASILEIRA DOS CRIADORES DE ZEBU;ASSOCIACAO BRASILEIRA DOS CRIADORES DE ZEBU;BRAZILIAN CATLLE, PROYECTO DE APEX EN ALIANZA CON  ABCZ ACTUA EN LA PROMOCION DEL GANADO CEBU Y SU CADENA PRODUCTIVA GANADERA, QUE REUNE EMPRESAS EXPORTADORAS DE ANIMALES VIVOS, SEMILLAS Y SUMINISTROS, MATERIAL GENETICO, EQUIPOS Y MAQUINARIOS, SALUD ANIMAL, FINCAS, CAPACITACION TECNICA Y NUTRICION ANIMAL.;55343-3193900;UBERABA;icce@abcz.org.br;ASSOCIACAO BRASILEIRA DOS CRIADORES DE ZEBU;http://www.braziliancattle.com.br;Pabellón: 11-16, Nivel: 01, Stand: G1305A
Gobierno Mayor;Gobierno Mayor;Artesanias elaboradas por la asocicion de mujeres de la comunidades indigenas pertenecientes a la organizaciòn gobierno Mayot;4633116;BOGOTA D.C.;gobiernomayor@gmail.co;Gobierno Mayor;http://;Pabellón: 08, Nivel: 01, Stand: 137
AYURÁ S.A.S.RANCHO ACAJURE;;GANADO BOBINO Y PRODUCTOS CARNICOS;601-6217704;BOGOTA D.C.;rcadena@ayura.co;AYURÁ S.A.S.RANCHO ACAJUREGANADERIA NELORE;http://www.eclipseflowers.com.co/en/;Pabellón: 11-16, Nivel: 01, Stand: 1103A
AZAAGRO SAS;AZAAGRO SAS;INSECTICIDA BIOLOGICO;572-3744307;CALI;fernando.angel4@gmail.com;AZAAGRO SAS;http://;Pabellón: 03, Nivel: 02, Stand: 552
Banco Agrario de Colombia;;Créditos linea agropecuaria;3734300;BARRANQUILLA;daniel.ospina@bancoagrario.gov;Banco Agrario de ColombiaBanco Agrario de Colombia. Somos un Banco comercial, ágil y moderno con énfasis en el desarrollo rural y la productividad agropecuaria, que ofrece soluciones financieras integrales a sus clientes, creando valor a todos los interesados, soportado en procesos, tecnología y equipo humano competentes, efectivos y de calidad.;http://www.bancoagrario.gov.co;Pabellón: 03, Nivel: 01, Stand: 202
BANCO BBVA;BANCO BBVA;PRODUCTOS Y SERVICIOS FINANCIEROS;;BOGOTA D.C.;mariacatalina.contreras@bbva.com;BANCO BBVA;http://www.bbva.com.co;Pabellón: 06, Nivel: 01, Stand: 605
BANCO DAVIVIENDA S.A.;;;6013-3000000;BOGOTA D.C.;scaranguren@davivienda.com;BANCO DAVIVIENDA S.A.Fiduciaria Davivienda S.A. es una entidad de servicios financieros que comercializa, gestiona y ofrece un amplio portafolio de productos fiduciarios, que generan valor a nuestros clientes, accionistas y terceros relacionados, apoyados en un equipo humano idóneo y comprometido.;http://www.davivienda.com;Pabellón: 06, Nivel: 01, Stand: 413
BASCULAS GANADERAS DE COLOMBIA S.A.S;BASCULAS GANADERAS DE COLOMBIA S.A.S;SISTEMAS DE PESAJE PECUARIO, ESTABLOS, CORRALES Y CERCAS;571-4978908;BOGOTA D.C.;ventas.basculas@hotmail.com;BASCULAS GANADERAS DE COLOMBIA S.A.S;http://;Pabellón: 03, Nivel: 01, Stand: 114
BASCULAS MEDIGAN SAS;BASCULAS MEDIGAN SAS;BRETES GANADEROS, BRETE BASCULA PARA GANADO, BASCULAS GANADERAS, CORRALES PARA GANADO, BASCULAS CAMIONERAS, MESA DE CIRUGIA, BRETES PARA TERNEROS.;571-4792683;BOGOTA D.C.;basculasmedigan@gmail.com;BASCULAS MEDIGAN SAS;http://www.basculasmedigan.com;Pabellón: 03, Nivel: 01, Stand: 619
PROMETALICOS;;;576-8864009;MANIZALES;jaime.zuluaga@prometalicos.com;PROMETALICOSBrindamos soluciones de control y con?abilidad en los procesos de su negocio a través de tecnologías de pesaje, ingeniería de procesos, desarrollo de software, servicio integral y conocimiento experto.;http://www.prometalicos.com;Pabellón: 03, Nivel: 01, Stand: 627
BBG COLOMBIA S.A.S;BBG COLOMBIA S.A.S;Barras ganaderas, Molinos, empacadoras, basculas y balanzas ;571-7457700;BOGOTA D.C.;info@basculasbbg.com;BBG COLOMBIA S.A.S;http://www.basculabbg.com;Pabellón: 03, Nivel: 01, Stand: 614
ASADOS EXPRESS, HORNO Y PARRILLA;ASADOS EXPRESS, HORNO Y PARRILLA;CHURRASCO, PUNTA DE ANCA, LOMO AL CHIGUIRO, BONDIOLA DE CERDO, TERNERA,COSTILLA DE CERDO, MOJARRA,TRUCHA,BAGRE, CHICHARRON, CHORIZOS, PAPA, PLTANO, GUACAMOLE,AREPA;320-8825977;BOGOTA D.C.;yeissonstevenbenavides35@gmail.com;ASADOS EXPRESS, HORNO Y PARRILLA;http://;Pabellón: AL02, Nivel: 01, Stand: 9
ARTE Y DECORACION;ARTE Y DECORACION;FABRICANTES DE ARTE Y DECORACION LINEA DE JUEGOS DIDACTICOS, ARTE RELIGIOSO, CABALLOS, VACAS, ELEFANTES ETC.;572-5515236;JAMUNDI;fbarteyvelas1@yahoo.com;ARTE Y DECORACION;http://;Pabellón: 08, Nivel: 01, Stand: 129
BIO.CO;BIO.CO;ACEITE DE COCO ORGANICO EXTRAVIRGEN BIO.CO  DE 1 LITRO EN PLASTICO, 1 LITRO EN VIDRIO 500ML, 225ML , 200ML, 180ML, 30ML EN VIDRIO , 30ML EN PORTABLE, 20ML, 15ML, 13ML. MEGAPACK, ACEITE DE COCO ORGANICO, EXTRAVIRGEN BIO.CO X 2 Y X 3 UNIDADES DE PRESENTACIONES VARIAS, KIT BIO.CO CUIDADO DE PIEL Y CABELLO, KIT BIO.CO CUIDADO DE BARBA Y LABIOS, KIT BIO.CO REGALO;316-7586692;BOGOTA D.C.;convenios.bio@aceitedecocobio.co;BIO.CO;https://aceitedecocobio.co/;Pabellón: 06, Nivel: 02, Stand: 143
BIOGENEC S.A.S.;BIOGENEC S.A.S.;PRODUCTOS Y EQUIPOS PARA INSEMINACIÓN ARTIFICIAL, TRANSFERENCIA DE EMBRIONES E IN VITRO;571-7047383;BOGOTA D.C.;sagomez@biogenec.com;BIOGENEC S.A.S.;http://www.biogenec.com;Pabellón: 03, Nivel: 02, Stand: 309
MAGICAL WARMERS;MAGICAL WARMERS;PRODUCTOS ALMOHADILLAS DE CALOR Y FRIO PARA ANIMALES/CORREAS;321-3899222;BOGOTA D.C.;josemendozan21@gmail.com;MAGICAL WARMERS;http://www.magicalwarmers.com;Pabellón: 08, Nivel: 01, Stand: 332
BOLD.CO SAS;BOLD.CO SAS;DATÁFONOS MÓVILES;;BOGOTA D.C.;katherine.cardona@bold.co;BOLD.CO SAS;http://;Pabellón: 03, Nivel: 02, Stand: 153
BROADBAND SAS;BROADBAND SAS;SISTEMA DE MONITOREO INALAMBRICO AMBIENTAL, SENSORES DE TEMPERATURA, HUMEDAD RELATIVA, DIOXIDO DE CARBONO, AMONIACO, CADENA DE FRIO;323-2322022;BOGOTA D.C.;nzambrano@bdbd.co;BROADBAND SAS;http://www.bdbd.co;Pabellón: 03, Nivel: 01, Stand: 542
SISTEMA.BIO;;BIODIGESTORES SUS ACCESORIOS Y COMPLEMENTOS.;314-3391138;BOGOTA D.C.;admincolombia@sistema.bio;SISTEMA.BIO;http://www.sistema.bio;Pabellón: 06, Nivel: 01, Stand: 522
C.I. SOLUCIONES AGROPECUARIAS SAS;C.I. SOLUCIONES AGROPECUARIAS SAS;TERMOS DE I.A. MAQUINAS PARA PELUQUEAR GANADO;571-6480790;BOGOTA D.C.;stoledo@cisoluciones.com;C.I. SOLUCIONES AGROPECUARIAS SAS;http://;Pabellón: 03, Nivel: 02, Stand: 301
TEJDOS ANDINOS;TEJDOS ANDINOS;;316-3392634;BOGOTA D.C.;juanycris10@hotmail.com;TEJDOS ANDINOS;http://;Pabellón: 08, Nivel: 01, Stand: 330
CAFÉ SANCARLOS COLOMBIA;CAFÉ SANCARLOS COLOMBIA;MAQUINARIA PARA PREPARACION DE CAFÉ;350-8291725;BOGOTA D.C.;cafesancarloscol@gmail.com;CAFÉ SANCARLOS COLOMBIA;http://;Pabellón: 06, Nivel: 01, Stand: 218
CAFE Y MAS DE COLOMBIA;;CAFÉ TOSTADO Y MOLIDO  Y EMPAQUES AGRICOLAS BIODEGRADABLES (COSTALES DE FIQUE, SACOS DE YUTE, BOLSAS PARA CAFÉ TOSTADO Y MOLIDO, LONAS DE POPIPROPILENO, BOLSAS HERMETICAS CONSERVAR ALIMENTOS;601-2583715;BOGOTA D.C.;jocaju49@gmail.com;CAFE Y MAS DE COLOMBIAHacemos los estudios de las condiciones del suelo para conocer sus necesidades y adecuarlo, buscando el equilibrio que garantice el óptimo desarrollo de las plantas, de tal forma que los cultivos logren su máxima producción dentro de un modelo sano, normal y amigable con el medio ambiente.;http://www.cafeymas.co;Pabellón: 03, Nivel: 01, Stand: 543
CAMARA COMERCIO DE MANIZALES;CAMARA COMERCIO DE MANIZALES;Agroindustria;5716-8841840;BOGOTA D.C.;contactenos@ccm.org.co;CAMARA COMERCIO DE MANIZALES;http://www.camaramanizales.org.co;Pabellón: 06, Nivel: 01, Stand: 420
CCB				;CCB				;CCB traerá a la FERIA AGROEXPO 2021, 18 Expositores, emprendedores de los programas de BAZZAR BOG.;571-5941000;BOGOTA D.C.;daniel.gomez@ccb.org.co;CCB				;http://www.ccb.org.co;Pabellón: 06, Nivel: 01, Stand: G102
CAMARA DE COMERCIO DE BOGOTA;;;571-5941000;BOGOTA D.C.;daniel.gomez@ccb.org.co;CAMARA DE COMERCIO DE BOGOTAkuna mya;http://www.ccb.org.co;Pabellón: 06, Nivel: 02, Stand: 6
CAMARA DE COMERCIO DE BOGOTA;;;571-5941000;BOGOTA D.C.;daniel.gomez@ccb.org.co;CAMARA DE COMERCIO DE BOGOTAkuna mya;http://www.ccb.org.co;Pabellón: 06, Nivel: 02, Stand: 526
CAMARA DE COMERCIO DE BOGOTA;;;571-5941000;BOGOTA D.C.;daniel.gomez@ccb.org.co;CAMARA DE COMERCIO DE BOGOTAkuna mya;http://www.ccb.org.co;Pabellón: 06, Nivel: 02, Stand: 418
CÁMARA DE COMERCIO DE IBAGUÉ - ALCALDÍA DE IBAGUÉ;;EXPOSICIÓN COMERCIAL DE PRODUSTROS AGRÍCOLAS Y AGROINDUSTRIALES DE IBAGUÉ Y EL TOLIMA DENTRO DE LOS CUALES SE DESTACAN: ARROZ DE LA MESETA, CAFÉ Y SUS DERIVADOS, CACAO Y SUS DERIVADOS, FRUTAS DESHIDRATADAS, ZUMOS DE FRUTA, PULPAS DE FRUTA, CONFITURAS, ENTRE OTROS. ALIMENTOS, BEBIDAS Y LICORES, FRUTAS, HORTALIZAS Y VERDURAS, PLANTAS AROMATICAS Y TE, BOTAS INDUSTRIALES, DOTACION (UNIFORMES), ABONOS Y COMPUESTOS ORGANICOS Y FERTILIZANTES.;578-2772000;IBAGUE;internacionalizacion@ccibague.org;CÁMARA DE COMERCIO DE IBAGUÉ - ALCALDÍA DE IBAGUÉ;http://www.ccibague.org;Pabellón: 06, Nivel: 01, Stand: 307
ALMACEN DON LUIS;ALMACEN DON LUIS;"""ACCESORIOS EQUINOS, ARTESANALES Y TALABARTERIA     ";575-2820968;SINCELEJO;almacendonluis@hotmail.com;ALMACEN DON LUIS;http://;Pabellón: 08, Nivel: 01, Stand: 322
CEET SA;CEET SA;;571-2940100;BOGOTA D.C.;marlau@eltiempo.com;CEET SA;http://www.eltiempo.com;Pabellón: 06, Nivel: 01, Stand: 521
CASABAN SOLUCIONES AGRICOLAS S.A.S.;;EMPAQUES PARA HORTALIZAS Y VEGETABLES, CUERDAS PELICULAS PLASTICAS , POLISOMBRA;;ITAGUI;gerencia@casaban.com.co;CASABAN SOLUCIONES AGRICOLAS S.A.S.Calle 76 No. 56-29 1505;http://www.casaban.com.co;Pabellón: 06, Nivel: 01, Stand: 107
CASA TORO;CASA TORO;CORTADORAS Y TRITURADORAS DE PASTO, COSECHADORAS, CULTIVADORAS DE FORRAJE Y GRANOS, FUMIGADORAS, SEMBRADORAS, TRACTORES Y REMOLQUES;601-6760022;CHIA;juanm.villegas@casatoro.com;CASA TORO;http://www.casatoromaquinaria.com.co;Pabellón: AL04, Nivel: 01, Stand: 6A
CASE EQUIPOS Y TRANSMISIONES S.A.S.;;REPUESTOS PARA MAQUINARIA AGRICOLA, CONSTRUCCION, MINERA, PORTUARIA, FORESTAL, UTILITARIOS, INDUSTRIAL Y MANTENIMIENTO;571-3512991;BOGOTA D.C.;info@caseetrans.com;CASE EQUIPOS Y TRANSMISIONES S.A.S.EQUIPOS Y TRANSMISIONES – CASE ETRANS SAS, es una empresa colombiana dedicada a reemplazar necesidades por soluciones a sus clientes, mediante la importación y comercialización de maquinaria y repuestos. Contamos con un gran stock de repuestos, siendo distribuidores y representantes de grandes marcas, estamos innovando constantemente en nuestro servicio mediante la capacitación al equipo de trabajo para ser cada vez más productivos, brindando asesoría e información oportuna a nuestros clientes.;http://www.caseetrans.com;Pabellón: 06, Nivel: 01, Stand: 333
CHICHARRON DE CUAJADA EL SOMONDOCANO;CHICHARRON DE CUAJADA EL SOMONDOCANO;1 Estuche de 200 gr y paquete de 40gr (Chicharrón de Cuajada) 2-  SABAJON, DATILES, MOGOLLAS  Y OTROS PRODUCTOS TÍPICOS de Boyacá.  ;314-4751994;BOGOTA D.C.;castillodesales@gmail.com;CHICHARRON DE CUAJADA EL SOMONDOCANO;http://;Pabellón: 06, Nivel: 02, Stand: 136
C-DEG S.A.S. E.S.P.;;SE EXHIBIRÁ PLANTA DEMOSTRATIVA DE TRATAMIENTOS DE AGUAS Y UN SISTEMA PARA TRATAMIENTO DE RESIDUOS SÒLIDOS ORGÀNICOS;574-6043167;GUARNE;a.garzon@c-deg.com.co;C-DEG S.A.S. E.S.P.C-deg es una empresa alemana que fue creada en abril del 2008 y ha instalado más de 1200 proyectos alrededor del mundo. En el año 2014 se creó C-deg S.A.S E.S.P. para atender el mercado de Colombia y América Latina.Nos especializamos en la planeación, el diseño, construcción, operación y mantenimiento de Teas (Antorchas / quemadores),  plantas de tratamiento de aguas (Aguas residuales industriales, lixiviado y plantas desalinizadoras), mediante la tecnología de filtración por membranas. Ofrecemos soluciones integrales para el aprovechamiento de gases no convencionales, tales como biogás y gas de relleno sanitario.;http://www.c-deg.co;Pabellón: 06, Nivel: 01, Stand: 630
YUZUAK RIEGO COLOMBIA;YUZUAK RIEGO COLOMBIA;"SISTEMAS DE RIEGO ""ASPERORES, EQUIPOS DE CONEXION, CAÑONES VIAJEROS";321-3259869;CAJICA;ventas@yuzuakcolombia.com;YUZUAK RIEGO COLOMBIA;http://;Pabellón: 06, Nivel: 01, Stand: 232
CENTRAL SAS;CENTRAL SAS;COSECHADORA DE PAPA, DESBROZADORA, ROTOCULTIVADORES, TRACTORES;571-3690500;BOGOTA D.C.;n.ospina@centralsas.com;CENTRAL SAS;http://www.centralsas.com;Pabellón: 06, Nivel: 01, Stand: 2
CFCAI - LAW MAROT SATIG;CFCAI - LAW MAROT SATIG;SECADORAS DE GRANO - LIMPIADORAS DE GRANO;3334-4516353;TRICOT;export@groupecfc.fr;CFCAI - LAW MAROT SATIG;http://www.cfcai.com;Pabellón: 06, Nivel: 01, Stand: 434
MEDICINA ANCESTRAL TAITA MARCELINO CHINDOY;MEDICINA ANCESTRAL TAITA MARCELINO CHINDOY;PRODUCTOS DE MEDICINA ANCESTRAL: CORTEZAS, PALOS, SEMILLAS, HOJAS,. ACEITES, PURGANTES, POMADAS, PRODUCTOS ESOTERICOS ENTRE OTROS;310-7563179;BOGOTA D.C.;taitamarcelinochindoy@hotmail.com;MEDICINA ANCESTRAL TAITA MARCELINO CHINDOY;http://;Pabellón: 06, Nivel: 02, Stand: 120
SOMBREROS Y TALABARTERIA 3Y CHIRINOS;SOMBREROS Y TALABARTERIA 3Y CHIRINOS;SOMBREROS, PONCHOS, TALABARTERIA, BOTAS, DE CALZADO, CACHUCHAS, PERCHEROS Y ACCESORIOS GANADEROS Y TODO LO RELACIONADO CON EL GREMIO EQUINO, BOVINO, OVINO Y CAPRINO.;0424-5531994;SAN FELIPE;yesidbaron0423@gmail.com;SOMBREROS Y TALABARTERIA 3Y CHIRINOS;http://;Pabellón: 08, Nivel: 01, Stand: 219
Asociacion Colombiana de Especies Menores  ACEM;;;301-5147711;BOGOTA D.C.;zabansky@gmail.com;Asociacion Colombiana de Especies Menores  ACEMSomos la entidad líder y referencia en el manejo de animales de pequeño porte y Especies Menores en Colombia.;http://;Pabellón: 06, Nivel: 01, Stand: 340A
Asociacion Colombiana de Especies Menores  ACEM;;;301-5147711;BOGOTA D.C.;zabansky@gmail.com;Asociacion Colombiana de Especies Menores  ACEMSomos la entidad líder y referencia en el manejo de animales de pequeño porte y Especies Menores en Colombia.;http://;Pabellón: 06, Nivel: 01, Stand: 140
CODENSOLAR SAS;CODENSOLAR SAS;ELECTRODOMESTICOS 100% SOLARES: NEVERAS, CONGELADORES AIRE ACONDICIONADO;601-3020063;BOGOTA D.C.;codensolar@hotmail.com;CODENSOLAR SAS;http://www.codensolar.com;Pabellón: 06, Nivel: 02, Stand: 103
COLEMPAQUES;;;60-5312222;MOSQUERA;isabella.gutierrez@colempaques.com;COLEMPAQUESSomos una empresa 100% colombiana, especializada en la fabricación de productos plásticos de óptima calidad. Contamos con experiencia en el mercado de más de 40 años de experiencia.;http://www.colempaques.com;Pabellón: 06, Nivel: 01, Stand: 202
COLINSTRUVET S.A.S.;COLINSTRUVET S.A.S.;INSTRUMENTAL QUIRURGICO, INSEMINACIÓN ARTIFICIAL, EQUIPO DE AVICULTURA, EQUIPO DE MANEJO, EQUIPO LECHERIA;571-2290032;BOGOTA D.C.;colinstruvet@hotmail.com;COLINSTRUVET S.A.S.;http://www.colinstruvet.com;Pabellón: 03, Nivel: 01, Stand: 145
COLINSTRUVET S.A.S.;COLINSTRUVET S.A.S.;INSTRUMENTAL QUIRURGICO, INSEMINACIÓN ARTIFICIAL, EQUIPO DE AVICULTURA, EQUIPO DE MANEJO, EQUIPO LECHERIA. ;571-2290032;BOGOTA D.C.;colinstruvet@hotmail.com;COLINSTRUVET S.A.S.;http://www.colinstruvet.com;Pabellón: 03, Nivel: 01, Stand: 141
COLINSTRUVET SAS;COLINSTRUVET SAS;INSTRUMENTAL QUIRURGICO, INSEMINACIÓN ARTIFICIAL, EQUIPO DE AVICULTURA, EQUIPO DE MANEJO, EQUIPO LECHERIA.;571-2290032;BOGOTA D.C.;colinstruvet@hotmail.com;COLINSTRUVET SAS;http://www.colinstruvet.com;Pabellón: 03, Nivel: 01, Stand: 143
TAPETES GUANACO;TAPETES GUANACO;FABRICACIÓN DE TAPETES EN CUERO;571-5284886;BOGOTA D.C.;colombiaacd@gmail.com;TAPETES GUANACO;http://;Pabellón: 08, Nivel: 01, Stand: 321
COLSAL COLOMBIANA DE SALES S.A.S;;;302-2498825;BOGOTA D.C.;colsalgerencia@hotmail.com;COLSAL COLOMBIANA DE SALES S.A.S;http://www.colsal.com;Pabellón: 03, Nivel: 01, Stand: 131
